기업명,인증연도
대한제지,1997
전주페이퍼,1997
한일시멘트포항공장,1999
한라시멘트광양,1999
와이에이치충주공장,1999
대한시멘트2공장,1999
한국씨엔티,1999
동광전업,2002
명신비료,2002
우성세라믹스공업,2002
대흥에프에스씨복합창,2002
서문기업,2004
케이씨씨문막공장,2004
벽산영동공장,2004
남경중공업,2005
태형기업양주공장,2005
생고뱅이소바코리아,2005
서우실업,2005
벽산익산공장,2005
서우실업,2005
대창아스콘,2006
홍창엠앤티영천공장,2006
상산쎄라믹,2006
주주콘크리트,2006
보광산업,2006
세아산업약목,2007
태형기업화성공장,2007
태창,2007
주흘산업개발,2007
금산공영(합,2007
석진산업,2007
광덕아스콘,2007
대한제지,2008
동화산업,2008
현대아스콘,2008
통명석재,2008
중앙아스콘,2008
삼덕유화,2008
드림라임,2008
대성아스콘,2008
청주아스콘,2008
부일레미콘,2008
삼양아스콘,2008
에스에이치산하인더스트리,2009
동녘,2009
진흥콘크리트,2009
한밭산업,2009
청산아스콘,2009
장성산업영월사업소,2009
한솔제지신탄진공장,2009
아키페이스,2009
덕산,2009
베스트,2009
대한시멘트1공장,2009
대평산업개발,2010
88콘크리트,2010
대영산업,2010
대영산업,2010
경기아스콘산업,2010
대원아스콘,2010
88콘크리트,2016
태형실업,2010
대경오앤티서농지점,2010
대경오앤티서농지점,2010
대한제지,2010
성광아스콘,2010
대성개발,2010
88콘크리트,2016
대아산업,2010
비젼세라믹,2010
본우드,2010
방태산업,2010
우리아스콘,2011
보광산업개발,2011
동해산업아스콘프랜트,2011
대연산업,2011
더원,2011
금강아스콘,2011
한솔산업,2011
동화기업,2011
드림아스콘,2011
토우세라믹,2011
청호개발,2011
신아에이치에스,2011
전주페이퍼,2011
도원,2011
신성아스콘,2011
세양개발,2011
에스지이,2012
한일에코산업,2012
대림아스콘,2012
진우산업개발,2012
전주페이퍼,2012
제룡산업청산공장,2012
예일,2012
조은비료,2012
일성기업,2012
삼일아스콘,2012
다성,2012
신흥아스콘,2012
영광아스콘,2012
소원아스콘,2012
대흥콘크리트,2013
더우드,2013
아시아플라텍,2013
케이와이PC,2013
남양호안,2013
우든테크,2013
대한실업성주지점,2013
삼일아스콘화성사업소,2013
삼덕,2013
대한제지,2013
하나케이텍,2013
한려케미칼,2013
전주페이퍼,2013
에스피에스엔에이당진슬래그공장,2013
본우드,2014
일성기업,2014
더우드,2014
한설그린,2014
누보켐인천,2014
삼강산업개발,2014
안성산업,2014
삼덕산업광주공장,2014
태인아스콘,2014
삼호건설아스콘춘천지점,2014
에스지이경인아스콘지점,2015
아스콘플러스,2015
삼광아스콘,2015
대한제지,2015
한일에코산업,2015
이알케미칼,2015
장성산업영월사업소,2015
웹스,2015
쌍용씨앤이광양공장,2015
풍원석회농업회사법인,2015
유성천연바이오,2015
지산산업,2015
이건그린텍,2015
퀸,2015
한밭비료,2015
홍창엠앤티진천2공장,2015
한라시멘트포항,2016
새재환경,2016
금강환경산업,2016
알앤이옥산공장,2016
알앤텍,2016
서경아스콘안성지점,2016
도형,2017
삼원환경산업,2017
대흥환경산업,2017
미성환경(합,2017
도로산업,2017
세영개발,2017
호성,2017
도성이엔에이,2017
충청환경산업,2017
부경아스콘,2017
옥산아스콘,2017
남양아스콘,2017
우신개발,2017
그린이엔티,2017
신성아스콘,2018
인평산업,2018
충경산업,2018
제일기업,2018
농산아스콘,2018
제일,2018
흥진산업,2018
국보환경,2018
보령환경산업,2018
대원농산,2018
윤성산업개발,2019
드림라임,2019
그린파워텍,2019
해솔아스콘,2019
진에너텍,2019
세아산업약목,2019
윤성산업개발,2019
효석,2019
동서개발,2019
엠제이,2019
미래텍,2019
대동산업,2019
바래봉비료영농조합법인,2021
성창보드,2021
대성골재아스콘지점,2021
경북환경,2021
신라아스콘,2021
태인,2021
도원환경,2021
화신아스콘,2021
미래개발,2021
영농조합법인자연바이오,2021
국일제지아산공장,2021
주안아스콘,2021
세종아스콘,2021
금산환경재생산업,2021
공단레미콘,2021
공단레미콘아스콘,2021
대화아스콘,2021
대한한옥개발,2021
대덕아스콘환경,2021
대전아스콘,2021
연산아스콘,2021
케이씨그린에너지,2021
수이노베이션,2021
대한실업성주지점,2021
대한실업성주지점,2021
동국제강인천공장,2021
동국제강봉강공장,2021
동국제강포항공장,2021
대광아스콘,2021
인천아스콘,2021
세진플러스,2021
광명화학공업사,2021
이에스알산업,2021
가나실업,2021
깨끗한나라청주공장,2021
깨끗한나라청주공장,2021
대림,2021
신호정유,2021
덕은인터라인정유,2021
대한제강녹산공장,2021
대한제강신평공장,2021
대한제강평택공장,2021
와이케이스틸,2021
포스코포항제철소,2021
포스코포항제철소,2021
청해광업,2022
부일레미콘,2022
아산아스콘,2022
누보켐검단,2022
창주산업,2022
원전기업,2022
홍익휴먼스,2022
현대제철인천공장,2022
현대제철인천공장,2022
현대제철포항1공장,2022
현대제철포항1공장,2022
현대제철포항2공장,2022
현대제철포항2공장,2022
클린코리아안강공장,2022
세일정유,2022
더원,2022
누보켐인천,2022
누보켐검단,2022
삼강아스콘,2022
드림아스콘,2022
인천테크,2022
승진그린텍,2022
대신피씨티,2022
검단아스콘,2022
동국제강인천공장,2022
공주의당아스콘,2022
대화,2022
도형,2022
현대제철포항1공장,2022
현대제철포항1공장,2022
현대제철포항2공장,2022
현대제철인천공장,2022
새빗켐2공장,2022
성신씨엠,2022
한국제강,2022
유림테크,2022
대원인프라,2022
동아개발,2022
이앤티,2022
이에스알산업,2022
현대엘앤씨엘텍세종사업장,2022
승일아스콘,2022
부림산기,2022
동국제강포항공장,2022
동국제강포항공장,2022
동국제강포항공장,2022
알앤이1공장,2022
알앤이옥산공장,2022
시경아스콘,2022
"무지개바이오비료
영농조합법인",2022
동성아스콘,2022
대흥환경산업,2022
포항아스콘,2023
태창산업,2023
알앤텍,2023
알앤이1공장,2023
현창기업의왕공장,2023
인테크,2023
농업회사법인새솔바이오,2023
바나,2023
대덕산업,2023
대주아스콘,2023
현해케미칼,2023
이에스알산업,2023
이에스알산업,2023
휴인텍,2023
현대엘앤씨엘텍세종사업장,2023
"디에스아스콘
(구.서부아스콘부안공장",2023
서부아스콘익산공장,2023
OK아스콘,2023
한국철강,2023
우성산업개발,2023
인성에이엔티인천공장,2023
한솔홈데코익산공장,2023
전주페이퍼,2011
경서아스콘,2023
한국특강,2023
현대제철포항1공장,2023
에코로,2023
환영철강공업,2023
의성그린에너지,2023
디케이유업,2023
창명산업,2023
성보아스콘,2023
일우피피씨충북지점,2023
미래개발,2023
윤성알엠씨고령지점,2023
코단에코크리트원주지점,2023
한국아스콘,2023
삼성환경건설,2023
벽산홍성제2공장,2023
백진환경(합,2023
이에스알산업,2024
현대환경,2024
금산씨알에이,2024
인성에이앤티,2024
동일산업,2024
대왕,2024
공영사,2024
창주산업,2024
세아산업약목,2024
중산현대,2024
유모아아스콘,2024
태인,2024
성경,2024
호경완주지점,2024
